Day,Started Sessions,Completed Sessions,Microsessions,AVG session duration (minutes),AVG charging duration (minutes),AVG session idle (minutes),Energy delivered (kWh),AVG kWh delivered per session (kWh),Max kWh delivered per session (kWh),Max kW hour (kW),GHGs avoided (lbs),Gasoline avoided (Gal),Electric miles provided (mi),Potential revenue ($),Collected revenue ($),Discounts granted ($),Utilization (%),Max Utilization (%),Faulted Stations,Time in Faulted State (hours),Uptime (%)
2020-07-14,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-15,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-16,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-17,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-18,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-19,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-20,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-21,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-22,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-23,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-24,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-25,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-26,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-27,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-28,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-29,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-30,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-07-31,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-01,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-02,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-03,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-04,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-05,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-06,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-07,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-08,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-09,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-10,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-11,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-12,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-13,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-14,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-15,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-16,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-17,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-18,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-19,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-20,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-21,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-22,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-23,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-24,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-25,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-26,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-27,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-28,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-29,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-30,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-08-31,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-01,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-02,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-03,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-04,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-05,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-06,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-07,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-08,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-09,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-10,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
2020-09-11,0,0,0,0,0,0,0,0,0,-1am,0,0,0,0,0,0,0,-,-,0.00,-
